country,latitude,longitude
Afghanistan,33.9,67.7
Albania,41.2,20.2
Algeria,28.0,1.7
Andorra,42.5,1.5
Angola,-11.2,17.9
Anguilla,18.2,-63.1
Antigua and Barbuda,17.1,-61.8
Argentina,-38.4,-63.6
Armenia,40.1,45.0
Aruba,12.5,-70.0
Australia,-25.3,133.8
Austria,47.5,14.6
Azerbaijan,40.1,47.6
Bahamas,25.0,-77.4
Bahrain,26.0,50.5
Bangladesh,23.7,90.4
Barbados,13.2,-59.5
Belarus,53.7,27.9
Belgium,50.5,4.5
Belize,17.2,-88.5
Benin,9.3,2.3
Bermuda,32.3,-64.8
Bhutan,27.5,90.4
Bolivia,-16.3,-63.6
Bonaire Sint Eustatius and Saba,12.2,-68.3
Bosnia and Herzegovina,43.9,17.7
Botswana,-22.3,24.7
Brazil,-14.2,-51.9
British Virgin Islands,18.4,-64.6
Brunei,4.9,114.9
Bulgaria,42.7,25.5
Burkina Faso,12.4,-1.6
Burundi,-3.4,29.9
Cambodia,12.6,105.0
Cameroon,7.4,12.3
Canada,56.1,-106.3
Cape Verde,16.0,-24.0
Central African Republic,6.6,20.9
Chad,15.5,18.7
Chile,-35.7,-71.5
China,35.9,104.2
Colombia,4.6,-74.1
Comoros,-11.9,43.9
Congo,-0.2,15.8
Cook Islands,-21.2,-159.8
Costa Rica,9.7,-83.7
Cote d'Ivoire,7.5,-5.5
Croatia,45.1,15.2
Cuba,21.5,-79.9
Curacao,12.2,-69.0
Cyprus,35.1,33.4
Czechia,49.8,15.5
Democratic Republic of Congo,-4.0,21.8
Denmark,56.3,9.5
Djibouti,11.6,43.1
Dominica,15.4,-61.4
Dominican Republic,18.7,-70.2
East Timor,-8.9,125.7
Ecuador,-1.8,-78.2
Egypt,26.8,30.8
El Salvador,13.7,-88.9
Equatorial Guinea,1.7,10.3
Eritrea,15.2,39.8
Estonia,58.6,25.0
Eswatini,-26.5,31.5
Ethiopia,9.1,40.5
Faroe Islands,62.0,-7.0
Fiji,-17.7,178.1
Finland,61.9,25.7
France,46.2,2.2
French Polynesia,-17.7,-149.4
Gabon,-0.8,11.6
Gambia,13.4,-15.3
Georgia,42.3,43.4
Germany,51.2,10.4
Ghana,7.9,-1.0
Greece,39.1,21.8
Greenland,71.7,-42.6
Grenada,12.1,-61.7
Guatemala,15.8,-90.2
Guinea,9.9,-11.4
Guinea-Bissau,11.8,-15.2
Guyana,5.0,-59.0
Haiti,19.0,-72.3
Honduras,15.2,-86.2
Hong Kong,22.4,114.1
Hungary,47.2,19.5
Iceland,64.9,-19.0
India,20.6,79.0
Indonesia,-0.8,113.9
Iran,32.4,53.7
Iraq,33.2,43.7
Ireland,53.4,-8.2
Israel,31.0,34.9
Italy,41.9,12.6
Jamaica,18.1,-77.3
Japan,36.2,138.3
Jordan,30.6,36.2
Kazakhstan,48.0,67.0
Kenya,-0.02,37.9
Kiribati,1.9,-157.5
Kosovo,42.6,21.0
Kuwait,29.3,47.5
Kyrgyzstan,41.2,74.8
Laos,19.9,102.5
Latvia,56.9,24.1
Lebanon,33.9,35.9
Lesotho,-29.6,28.2
Liberia,6.4,-9.4
Libya,26.3,17.2
Liechtenstein,47.2,9.6
Lithuania,55.2,23.9
Luxembourg,49.8,6.1
Macao,22.2,113.5
Madagascar,-18.8,46.9
Malawi,-13.3,34.3
Malaysia,4.2,101.9
Maldives,3.2,73.2
Mali,17.6,-4.0
Malta,35.9,14.5
Marshall Islands,7.1,171.2
Mauritania,21.0,-10.9
Mauritius,-20.3,57.6
Mexico,23.6,-102.5
Micronesia (country),7.4,150.6
Moldova,47.4,28.4
Mongolia,46.9,103.8
Montenegro,42.7,19.4
Montserrat,16.7,-62.2
Morocco,31.8,-7.1
Mozambique,-18.7,35.5
Myanmar,21.9,96.0
Namibia,-22.6,18.5
Nauru,-0.5,166.9
Nepal,28.4,84.1
Netherlands,52.1,5.3
New Caledonia,-20.9,165.6
New Zealand,-40.9,174.9
Nicaragua,12.8,-85.2
Niger,17.6,8.1
Nigeria,9.1,8.7
Niue,-19.1,-169.9
North Korea,40.3,127.5
North Macedonia,41.5,21.7
Norway,60.5,8.5
Oman,21.5,55.9
Pakistan,30.4,69.3
Palau,7.5,134.6
Palestine,31.9,35.2
Panama,8.5,-80.8
Papua New Guinea,-6.3,143.9
Paraguay,-23.4,-58.4
Peru,-9.2,-75.0
Philippines,12.9,121.8
Poland,51.9,19.1
Portugal,39.4,-8.2
Qatar,25.4,51.2
Romania,45.9,25.0
Russia,61.5,105.3
Rwanda,-1.9,29.9
Saint Helena,-15.9,-5.7
Saint Kitts and Nevis,17.3,-62.7
Saint Lucia,13.9,-61.0
Saint Pierre and Miquelon,46.9,-56.3
Saint Vincent and the Grenadines,12.9,-61.3
Samoa,-13.8,-172.1
Sao Tome and Principe,0.2,6.6
Saudi Arabia,23.9,45.1
Senegal,14.5,-14.5
Serbia,44.0,21.0
Seychelles,-4.7,55.5
Sierra Leone,8.5,-11.8
Singapore,1.4,103.8
Sint Maarten (Dutch part),18.0,-63.1
Slovakia,48.7,19.7
Slovenia,46.2,14.8
Solomon Islands,-9.6,160.2
Somalia,5.2,46.2
South Africa,-30.6,22.9
South Korea,35.9,127.8
South Sudan,6.9,31.3
Spain,40.5,-3.7
Sri Lanka,7.9,80.8
Sudan,12.9,30.2
Suriname,3.9,-56.0
Sweden,60.1,18.6
Switzerland,46.8,8.2
Syria,35.0,38.0
Taiwan,23.7,121.0
Tajikistan,38.9,71.3
Tanzania,-6.4,34.9
Thailand,15.9,100.9
Togo,8.6,0.8
Tonga,-21.2,-175.2
Trinidad and Tobago,10.4,-61.2
Tunisia,33.9,9.5
Turkey,39.0,35.2
Turkmenistan,38.0,59.6
Turks and Caicos Islands,21.7,-71.8
Tuvalu,-7.1,177.6
Uganda,1.4,32.3
Ukraine,48.4,31.2
United Arab Emirates,23.4,53.8
United Kingdom,55.4,-3.4
United States,39.8,-98.5
Uruguay,-32.5,-55.8
Uzbekistan,41.4,64.6
Vanuatu,-15.4,166.9
Venezuela,6.4,-66.6
Vietnam,14.1,108.3
Wallis and Futuna,-13.8,-177.2
Yemen,15.6,48.5
Zambia,-13.1,27.8
Zimbabwe,-20.0,29.2
